location,bath,price,bhk,sqft
Yelahanka,2,78.0,2,1326.0
Garudachar Palya,2,60.8,3,1325.0
Hegde Nagar,7,210.0,6,3000.0
Dasanapura,2,37.0,2,708.0
Kasavanhalli,2,58.06,2,1060.0
Sanjay nagar,2,70.0,2,1000.0
ISRO Layout,4,155.0,4,1200.0
Thanisandra,2,80.0,2,1296.0
Domlur,3,90.0,3,1540.0
Kengeri,4,245.0,4,2894.0
Sarjapura - Attibele Road,2,48.0,3,1330.0
Other,3,90.0,3,1200.0
Chandapura,1,17.0,2,650.0
Kothanur,2,150.0,3,2400.0
Rajaji Nagar,3,229.0,3,1640.0
Other,2,55.68,2,782.0
Devanahalli,2,66.78,2,1260.0
Other,3,120.0,3,1800.0
Ramamurthy Nagar,4,225.0,4,3700.0
Sarjapur  Road,3,140.0,3,2497.0
Thanisandra,3,74.75,3,1436.0
Malleshwaram,2,75.0,2,1100.0
Thanisandra,3,120.0,3,1427.0
Akshaya Nagar,3,200.0,3,2061.0
Shampura,4,150.0,4,2650.0
Devanahalli,2,68.52,3,1282.0
Kadugodi,2,34.0,2,1050.0
Hormavu,2,78.0,2,1500.0
Other,3,110.0,3,1870.0
Sarjapur,3,75.0,3,1600.0
Other,4,210.0,4,1200.0
Kudlu Gate,3,83.0,3,1535.0
Kanakpura Road,2,57.0,2,950.0
8th Phase JP Nagar,2,54.005,2,1073.5
Bommasandra Industrial Area,3,50.4,3,1280.0
Other,2,85.05,3,1260.0
Hennur Road,8,250.0,8,5000.0
Kasavanhalli,3,105.0,3,1563.05
ISRO Layout,2,60.0,2,1000.0
Anandapura,2,43.76,2,1167.0
Vishveshwarya Layout,7,225.0,7,4000.0
Kothanur,3,110.0,3,1828.0
Kengeri Satellite Town,2,35.0,2,890.0
Kannamangala,2,58.0,2,957.0
Other,4,235.0,3,2795.0
Hulimavu,2,50.0,2,1125.0
Electronic City Phase II,2,30.6,2,1020.0
Kalena Agrahara,2,50.0,2,1200.0
Thanisandra,3,135.0,3,1735.0
Thanisandra,3,145.0,3,2050.0
Hosa Road,2,32.0,2,1063.0
Other,3,150.0,3,1904.0
Whitefield,4,420.0,4,4200.0
Other,3,175.0,3,2000.0
Sarjapur,2,43.49,2,1242.5
Electronic City,2,64.5,3,1500.0
Electronic City,2,60.0,2,1060.0
Attibele,1,11.0,1,450.0
Electronic City,2,64.5,2,1152.0
Other,3,100.0,3,1500.0
Nagavara,1,14.0,1,400.0
Malleshwaram,1,67.0,1,705.0
Hulimavu,2,51.0,2,1242.0
Hebbal Kempapura,3,155.0,3,1700.0
Thanisandra,3,145.0,3,2144.0
Other,3,300.0,3,1846.0
KR Puram,2,56.8,2,1277.5
Marathahalli,2,52.0,2,1200.0
Pattandur Agrahara,2,80.0,3,1550.0
Marathahalli,2,60.0,2,1200.0
Yelahanka,2,98.0,2,1327.0
Kothanur,2,58.0,2,1186.0
Other,3,115.0,3,1783.0
Nagasandra,2,48.0,2,980.0
EPIP Zone,2,82.0,2,1285.0
Other,2,70.0,3,912.0
Kogilu,3,88.0,3,1909.0
Panathur,2,87.0,2,1359.0
1st Block Jayanagar,4,428.0,4,2850.0
Kammasandra,3,65.0,3,1595.0
Electronics City Phase 1,3,78.29,3,1475.0
Other,3,100.0,3,1580.0
Dasarahalli,2,65.0,2,1295.0
Magadi Road,6,141.0,6,3600.0
Electronic City,1,27.0,1,589.0
Sarjapur  Road,3,98.29,3,1787.0
Sarjapur  Road,3,125.0,3,1787.0
Other,4,260.0,3,2405.0
7th Phase JP Nagar,2,72.0,2,1080.0
Other,2,115.0,2,1500.0
Hebbal,3,119.0,3,1900.0
Dommasandra,2,22.14,2,805.0
Kalyan nagar,2,110.0,2,1290.0
Chandapura,1,16.45,1,645.0
Chandapura,1,16.45,1,645.0
Electronic City,3,90.0,3,1200.0
OMBR Layout,3,185.0,3,2420.0
7th Phase JP Nagar,2,93.0,2,1270.0
Horamavu Agara,2,95.0,4,1200.0
Electronic City,2,63.0,2,1108.0
Other,3,170.0,3,3045.0
Ambedkar Nagar,3,300.0,4,2900.0
Raja Rajeshwari Nagar,2,43.9,2,1295.0
Budigere,2,59.9,2,1162.0
Kalena Agrahara,3,120.0,3,1804.0
Sarjapur,2,32.0,2,913.0
Talaghattapura,3,131.0,3,1868.0
Kengeri Satellite Town,2,45.0,2,883.0
Other,2,110.0,2,900.0
Hegde Nagar,3,132.0,3,2026.0
Balagere,2,80.9,2,1210.0
Kadugodi,3,91.45,3,1762.0
Gollarapalya Hosahalli,2,34.5,2,861.0
7th Phase JP Nagar,2,100.0,3,1420.0
Electronics City Phase 1,3,78.8,3,1490.0
Bisuvanahalli,2,46.0,3,1075.0
Old Madras Road,2,94.0,3,1425.0
Kalena Agrahara,2,40.0,2,1200.0
Kaggadasapura,2,56.0,3,1280.0
Haralur Road,2,44.0,2,1027.0
Electronic City Phase II,2,45.0,2,1069.0
Hebbal,2,98.2,2,1349.0
9th Phase JP Nagar,2,50.0,2,1005.0
Jakkur,2,75.0,2,1417.0
TC Palaya,3,98.0,3,1475.0
Singasandra,2,29.5,2,1010.0
Kalena Agrahara,2,70.0,3,1425.0
Vijayanagar,3,100.0,3,1450.0
Kothanur,3,105.0,3,1847.0
AECS Layout,2,45.0,2,1100.0
Kanakpura Road,1,26.0,1,525.0
Mallasandra,3,95.0,3,1665.0
JP Nagar,3,150.0,3,1850.0
Panathur,2,100.0,2,1438.0
Other,3,115.0,3,1560.0
Malleshpalya,2,46.5,2,1140.0
Whitefield,2,75.0,2,1280.0
Munnekollal,2,52.0,2,1170.0
Hennur Road,2,83.09,2,1385.0
Electronic City,2,65.0,2,1128.0
Marathahalli,2,128.0,2,1200.0
Other,4,165.0,4,1200.0
Rajaji Nagar,3,415.0,3,2390.0
Giri Nagar,4,400.0,4,2400.0
Kaval Byrasandra,2,52.0,2,1200.0
Other,3,95.0,3,1645.0
Sarjapur  Road,2,67.0,2,1000.0
Haralur Road,4,198.0,4,2650.0
6th Phase JP Nagar,2,74.0,2,1192.0
Ulsoor,3,215.0,3,2135.0
Uttarahalli,2,45.0,2,1020.0
Other,2,79.0,2,1200.0
Devarachikkanahalli,2,40.0,2,1250.0
Kalena Agrahara,2,76.0,2,1325.0
7th Phase JP Nagar,3,150.0,3,1850.0
Kanakpura Road,1,21.53,1,525.0
Basaveshwara Nagar,2,65.0,2,1200.0
Other,2,140.0,3,1350.0
Bommasandra,3,49.36,3,1260.0
Other,3,150.0,3,1800.0
Ardendale,2,43.25,2,1100.0
Harlur,2,77.0,2,1508.0
Akshaya Nagar,2,57.0,2,1388.0
Electronic City Phase II,1,28.35,1,630.0
Other,3,365.0,3,2000.0
Other,3,125.0,3,1762.0
Kodihalli,5,335.0,4,3252.0
Magadi Road,2,50.0,2,1116.0
Narayanapura,2,89.04,2,1308.0
Other,3,90.0,3,1200.0
Other,4,230.0,4,1500.0
Bannerghatta Road,1,18.5,1,500.0
Hennur,2,52.0,2,1075.0
Chandapura,1,11.66,1,530.0
Bellandur,2,66.0,2,1205.0
5th Phase JP Nagar,2,60.0,2,1075.0
KR Puram,2,39.0,2,930.0
Hebbal,5,212.0,4,2483.0
Kodigehaali,2,55.0,2,1166.0
Bannerghatta Road,2,65.0,2,1050.0
Other,3,275.0,3,2023.71
Begur Road,2,46.8,2,1200.0
Lakshminarayana Pura,2,108.0,3,1600.0
8th Phase JP Nagar,1,29.9,1,451.0
Electronic City,3,95.0,3,1800.0
Hegde Nagar,3,115.0,3,1801.0
Mahadevpura,2,90.0,2,1451.0
Begur Road,2,44.0,2,1160.0
Vijayanagar,2,134.0,3,1580.0
7th Phase JP Nagar,2,94.0,2,1245.0
Raja Rajeshwari Nagar,2,45.79,2,1145.0
Sompura,2,33.0,2,825.0
Yeshwanthpur,3,108.0,3,1693.0
Doddathoguru,2,32.0,2,1050.0
Dodda Nekkundi,2,55.0,2,1260.0
Hosur Road,2,120.0,2,1656.0
Chandapura,3,45.0,3,1208.0
Whitefield,3,161.0,3,1910.0
Whitefield,4,230.0,4,3252.0
Battarahalli,2,65.0,2,1200.0
Other,4,175.0,4,1200.0
7th Phase JP Nagar,2,82.0,2,1175.0
Other,2,165.0,2,1000.0
Bannerghatta Road,2,125.0,4,1200.0
Rajaji Nagar,3,410.0,3,2390.0
Kengeri,1,18.5,1,370.923994
Kengeri,2,38.0,2,750.0
Billekahalli,2,62.0,2,1125.0
Nagarbhavi,3,150.0,3,1350.0
Anandapura,2,55.0,2,1000.0
Bommasandra Industrial Area,2,31.48,2,1090.0
TC Palaya,2,60.0,2,1200.0
Budigere,4,103.0,3,1991.0
Bommasandra,2,26.5,2,1060.0
Ambalipura,2,75.0,2,1105.0
Hoodi,2,67.0,2,985.0
CV Raman Nagar,2,55.0,2,1120.0
Marathahalli,3,140.0,3,1933.0
Hosur Road,2,69.0,2,1194.0
Brookefield,2,69.0,2,1150.0
Yelenahalli,2,47.12,2,1240.0
Raja Rajeshwari Nagar,2,48.1,2,1419.0
Other,4,240.0,3,2150.0
Dasanapura,1,40.0,2,708.0
Kasavanhalli,4,110.0,3,1000.0
Bellandur,2,76.0,2,1250.0
7th Phase JP Nagar,2,95.0,3,1400.0
Ardendale,3,100.0,3,1750.0
Vittasandra,2,71.0,2,1404.0
Electronic City,1,34.65,1,630.0
Harlur,3,135.0,3,1752.12
Raja Rajeshwari Nagar,2,55.47,2,1295.0
Giri Nagar,3,252.0,3,1800.0
Sarjapur  Road,2,74.03,2,1346.0
Other,4,200.0,4,1200.0
Hormavu,2,55.0,2,1150.0
Other,4,325.0,4,3309.0
AECS Layout,3,98.0,3,1620.0
Marathahalli,2,46.96,2,950.0
Other,9,360.0,11,5000.0
Padmanabhanagar,2,63.0,2,1020.0
Chikkalasandra,2,50.0,2,1100.0
Other,2,126.0,2,1150.0
Hebbal,2,130.0,3,1760.0
Ambalipura,3,110.0,3,1800.0
Akshaya Nagar,2,54.0,2,1070.0
2nd Stage Nagarbhavi,4,220.0,4,1500.0
Vidyaranyapura,2,95.0,2,1440.0
Amruthahalli,2,40.0,2,900.0
Other,4,230.0,4,1200.0
Koramangala,2,165.0,2,1320.0
Kodigehalli,2,98.0,2,1270.0
Other,2,74.0,2,1200.0
Subramanyapura,2,50.17,2,929.0
7th Phase JP Nagar,4,400.0,4,3600.0
Chikkalasandra,2,49.0,2,1208.0
Hebbal Kempapura,2,60.0,2,1130.0
Other,3,120.0,3,1753.0
Hoodi,2,94.42,2,1196.0
5th Phase JP Nagar,3,52.5,2,1150.0
Electronic City,2,63.0,2,1128.0
Kereguddadahalli,2,32.0,2,950.0
Other,2,45.0,2,720.0
Lingadheeranahalli,3,95.0,3,1511.0
Shampura,2,26.0,1,375.0
Vidyaranyapura,2,38.0,2,1062.0
JP Nagar,2,35.0,2,1000.0
Kambipura,2,45.0,2,883.0
Sarjapur  Road,2,70.0,2,1195.0
Other,3,165.0,4,1200.0
Other,1,41.0,1,700.0
Vittasandra,2,67.0,2,1246.0
Begur Road,3,65.0,3,1584.0
Sector 7 HSR Layout,5,275.0,4,3000.0
Other,3,115.0,3,1595.0
Other,2,110.0,2,1353.0
Electronic City,3,125.0,3,1599.0
Whitefield,2,70.0,2,1150.0
KR Puram,2,42.74,2,1155.0
Other,2,85.0,1,1200.0
Electronic City Phase II,2,25.0,2,1000.0
Rajiv Nagar,3,160.0,3,1867.0
Ramagondanahalli,2,47.0,2,1251.0
Arekere,2,45.0,2,1222.0
Bannerghatta Road,2,66.0,3,1170.0
Hebbal,4,245.0,3,2400.0
HSR Layout,2,68.0,2,1372.0
Mico Layout,9,210.0,9,5000.0
Other,3,528.0,5,3000.0
Whitefield,3,101.0,3,1768.0
Other,2,90.0,3,1325.0
Electronic City,3,99.0,3,1599.0
Other,3,499.0,3,2610.0
Uttarahalli,2,63.0,2,1286.0
Kammanahalli,5,140.0,5,2845.0
Hennur Road,2,63.77,2,1317.5
Munnekollal,2,53.67,2,1102.0
Chikkabanavar,2,40.0,2,950.0
Kanakpura Road,1,27.25,1,525.0
Attibele,2,25.0,2,656.0
Marathahalli,4,175.0,4,1780.0
Other,2,80.0,2,1056.0
Bannerghatta Road,1,33.32,1,595.0
7th Phase JP Nagar,3,160.0,3,2225.0
Bommasandra,2,28.15,2,1126.0
Electronics City Phase 1,3,84.0,3,1490.0
HRBR Layout,4,300.0,4,2000.0
Sarjapur  Road,3,100.0,3,1550.0
Whitefield,4,315.0,4,4144.0
Sarjapur  Road,3,125.0,3,2100.0
Vittasandra,2,69.3,2,1404.0
Sarjapur  Road,4,225.0,4,2230.0
Other,3,120.0,3,1544.0
Banashankari Stage III,2,58.7,3,1305.0
Marathahalli,2,80.0,2,1230.0
Gottigere,2,45.0,2,967.0
Other,1,36.0,1,540.0
Hormavu,1,46.0,1,715.0
Whitefield,3,313.0,3,2500.0
Other,3,180.0,3,1578.0
Mysore Road,2,48.95,2,1020.0
Jigani,2,40.0,2,1020.0
Koramangala,2,102.0,2,1253.0
Nehru Nagar,2,38.0,2,961.0
Kanakapura,3,75.0,3,1419.0
Harlur,3,150.0,3,1709.0
Other,2,115.0,2,1600.0
Other,1,18.5,1,416.0
Sanjay nagar,2,98.0,2,1100.0
Kalena Agrahara,2,85.0,3,1450.0
Konanakunte,3,223.0,3,2791.0
Other,1,90.0,1,600.0
Other,1,60.0,1,834.0
Other,4,70.0,3,1125.0
Arekere,3,140.0,3,2060.0
Gottigere,2,25.0,2,891.0
Raja Rajeshwari Nagar,2,49.07,2,1133.0
Other,5,260.0,4,3000.0
Brookefield,5,425.0,4,2440.0
Vidyaranyapura,2,55.0,2,1200.0
Kaggadasapura,2,40.0,2,1140.0
Other,5,250.0,6,2160.0
Raja Rajeshwari Nagar,2,42.0,2,1090.0
Whitefield,4,360.0,4,4104.0
Whitefield,3,100.0,3,1790.0
Hebbal,3,134.0,3,1920.0
HRBR Layout,2,95.0,2,1374.0
Bannerghatta Road,3,95.0,3,1445.0
Kanakapura,1,36.0,1,711.0
Tumkur Road,3,95.0,3,1500.0
Whitefield,3,100.0,3,1720.0
Vasanthapura,3,60.0,3,1400.0
Kundalahalli,2,49.0,2,1030.0
Mysore Road,2,85.0,2,1200.0
Hegde Nagar,1,56.0,2,1050.0
Jalahalli,3,160.0,3,2250.0
Bellandur,2,50.0,2,1000.0
Other,1,25.0,1,469.0
Marathahalli,4,250.0,4,3800.0
Kambipura,2,29.0,2,883.0
GM Palaya,2,86.0,3,1820.0
Singasandra,2,65.0,3,1440.0
Malleshwaram,5,325.0,4,2500.0
Mahadevpura,2,48.0,2,1225.0
Chikkalasandra,2,52.8,2,875.0
Jalahalli East,1,40.0,1,750.0
6th Phase JP Nagar,2,80.0,2,1180.0
Haralur Road,2,47.0,2,1194.0
Hosakerehalli,3,262.0,3,2378.0
Sarjapur,2,60.0,2,1128.0
Hebbal,3,150.0,3,1500.0
Bommasandra,3,46.0,3,1200.0
Haralur Road,5,260.0,4,3385.0
Horamavu Agara,2,45.0,2,1200.0
Raja Rajeshwari Nagar,2,67.39,2,1260.0
Bisuvanahalli,2,45.0,3,1075.0
Thanisandra,3,130.0,3,1702.0
Other,2,200.0,2,1630.0
Raja Rajeshwari Nagar,2,38.55,2,1141.0
Other,2,70.0,3,1200.0
Other,3,77.0,3,1350.0
Other,4,445.0,4,4046.0
Other,2,78.34,3,1180.0
Other,2,115.0,2,1355.0
Other,1,50.0,1,600.0
Bannerghatta Road,2,120.0,3,1640.0
Kodichikkanahalli,2,57.0,3,1190.0
OMBR Layout,4,375.0,4,2400.0
Marathahalli,2,49.85,2,1019.0
Other,3,165.0,3,1875.0
Brookefield,3,140.0,3,1200.0
Lingadheeranahalli,3,109.0,3,1683.0
Kaggadasapura,3,83.3,3,1515.0
Varthur Road,2,61.75,2,1083.0
Other,2,55.0,2,600.0
Other,3,120.0,3,1750.0
Anjanapura,3,139.0,3,1500.0
Abbigere,2,40.39,2,985.0
Tindlu,2,87.0,3,1500.0
JP Nagar,5,548.5,5,5600.0
Other,2,98.5,3,1092.0
Electronic City Phase II,2,28.34,2,1090.0
Hennur Road,3,159.0,3,2264.0
Kammasandra,2,24.5,2,810.0
Hebbal,2,82.0,2,1337.0
Chandapura,2,32.0,2,1200.0
Koramangala,3,160.0,3,1580.0
Whitefield,4,91.0,3,1640.0
Gubbalala,2,82.0,3,1470.0
7th Phase JP Nagar,2,71.0,2,1050.0
Other,3,225.0,3,1855.0
Bannerghatta Road,2,90.0,3,1460.0
Hulimavu,3,100.0,3,1823.0
Parappana Agrahara,3,85.0,4,1200.0
Jakkur,2,125.0,3,1590.0
Raja Rajeshwari Nagar,4,220.0,4,1200.0
Haralur Road,2,53.0,2,1202.0
Panathur,3,118.0,3,1688.0
Kaval Byrasandra,2,52.0,2,1020.0
Sarjapur,2,47.0,2,1185.0
Ramagondanahalli,2,52.04,2,1235.0
Hosakerehalli,5,500.0,4,3205.0
Banashankari,2,37.64,2,1077.0
Kengeri Satellite Town,2,66.0,3,1415.0
EPIP Zone,3,162.0,3,2330.0
Other,1,20.03,1,425.0
Anekal,2,22.0,2,656.0
Mahadevpura,2,52.0,2,1150.0
Other,1,60.0,1,600.0
Other,2,140.0,2,1468.0
Other,5,550.0,4,4300.0
Whitefield,4,126.0,3,2280.0
Hegde Nagar,2,97.0,2,1341.0
Jakkur,2,77.0,2,1279.0
Electronic City Phase II,4,98.88,4,2225.0
Kudlu,2,53.5,2,1152.0
Hulimavu,2,36.0,2,1300.0
Varthur Road,4,155.0,4,2760.0
5th Phase JP Nagar,2,39.0,2,1070.0
Uttarahalli,2,45.0,2,1101.0
Other,2,55.0,2,775.0
Yeshwanthpur,1,36.85,1,667.0
Electronic City,2,55.0,2,1070.0
Kundalahalli,2,57.99,2,735.0
Marathahalli,2,67.0,2,1215.0
Vishwapriya Layout,2,30.0,2,820.0
Banashankari Stage VI,2,59.935,2,1177.5
Battarahalli,3,89.61,3,1779.0
Jalahalli,2,150.0,2,1694.0
Hosakerehalli,3,203.0,3,2376.0
Kammasandra,2,33.0,2,674.0
Kaggadasapura,2,41.0,2,1185.0
Thanisandra,1,28.0,1,445.0
HSR Layout,3,75.0,3,1475.0
Gottigere,3,82.5,3,1618.0
Koramangala,2,65.0,2,1120.0
Marathahalli,3,152.0,4,2181.0
Vidyaranyapura,4,90.0,4,1200.0
Bannerghatta Road,2,66.02,2,1179.0
Thanisandra,2,83.0,2,1296.0
Kaggadasapura,2,52.0,2,1275.0
Kathriguppe,2,77.0,3,1400.0
Gottigere,2,63.0,2,1222.0
Tumkur Road,3,112.0,3,1779.0
JP Nagar,4,453.0,4,4624.5
Haralur Road,2,61.0,2,1056.0
7th Phase JP Nagar,2,46.0,2,1100.0
Arekere,2,40.0,2,920.0
Padmanabhanagar,2,62.0,2,1176.0
Other,3,135.0,3,1352.0
Kasavanhalli,3,99.0,3,1717.0
Vittasandra,2,67.3,2,1246.0
Anandapura,2,42.79,2,1141.0
Hennur Road,2,84.0,2,1157.0
Chandapura,2,27.68,2,1025.0
Yelahanka New Town,1,33.0,1,650.0
Hebbal,2,98.0,2,1349.0
Varthur,2,34.9,2,1091.0
Rachenahalli,4,300.0,4,3670.0
7th Phase JP Nagar,2,50.49,2,918.0
Yeshwanthpur,4,130.0,4,1950.0
Yelahanka,3,95.0,3,1705.0
Kanakpura Road,1,30.0,1,525.0
Whitefield,2,83.0,2,1447.0
7th Phase JP Nagar,2,100.0,3,1450.0
Vasanthapura,2,40.0,2,1022.0
Hebbal,2,45.0,2,1000.0
Electronic City,2,68.75,2,1128.0
Nagarbhavi,2,150.0,2,1200.0
Kanakpura Road,2,75.0,2,1339.0
7th Phase JP Nagar,2,39.52,2,1040.0
Kadugodi,2,58.0,2,1198.0
Other,3,95.0,4,1200.0
Sarjapur  Road,3,113.0,3,1691.0
1st Block Jayanagar,3,194.0,3,1630.0
Bannerghatta Road,2,58.935,2,1122.5
Brookefield,2,70.0,2,1142.0
Other,3,184.0,3,1976.0
Kothannur,3,82.0,3,1853.0
Kasturi Nagar,2,92.0,2,1567.0
Talaghattapura,2,27.24,2,1090.0
Subramanyapura,2,52.0,2,1200.0
Kodichikkanahalli,2,41.0,2,995.0
Magadi Road,2,41.1,2,884.0
KR Puram,2,46.55,2,1225.0
Electronic City,2,73.3,2,1342.0
Uttarahalli,2,67.0,2,1345.0
Kodigehaali,3,65.0,3,1320.0
Raja Rajeshwari Nagar,2,49.39,2,1140.0
Battarahalli,2,50.0,2,1300.0
Hosa Road,3,85.0,3,1652.0
Arekere,2,95.0,3,1740.0
Electronic City,2,71.0,3,1360.0
Sarjapur  Road,2,95.0,2,1278.0
Electronic City Phase II,1,40.0,1,630.0
Other,3,95.0,3,1200.0
Chandapura,1,15.135,1,582.5
Hosur Road,5,240.0,5,3300.0
Basaveshwara Nagar,5,415.0,5,4500.0
Gunjur,2,66.0,3,1356.0
Ramamurthy Nagar,2,37.0,2,1050.0
7th Phase JP Nagar,2,42.79,2,1070.0
Varthur,2,80.0,2,1385.0
Varthur,1,70.0,1,1000.0
Whitefield,3,130.0,3,1897.0
Magadi Road,2,55.78,2,1005.0
Green Glen Layout,3,125.0,3,1575.0
Subramanyapura,2,65.0,2,975.0
Hennur Road,3,120.0,3,1904.0
Kengeri Satellite Town,1,30.0,1,930.0
Kanakpura Road,1,26.0,1,525.0
Other,1,17.0,1,686.0
Electronic City Phase II,3,150.0,2,2400.0
Other,1,233.0,2,1410.0
Sarjapur  Road,3,140.0,3,2238.0
Harlur,2,69.0,2,1174.0
Thubarahalli,4,239.0,4,3800.0
Whitefield,2,125.0,3,2225.0
Other,2,200.0,2,1250.0
Jigani,2,52.0,2,918.0
Mahadevpura,2,52.0,2,1250.0
Sarjapur  Road,3,110.0,3,1800.0
Marathahalli,2,53.0,2,1170.0
Bannerghatta Road,2,45.0,2,793.0
Jakkur,3,107.0,3,1710.0
Kambipura,2,57.5,3,1082.0
Other,4,180.0,4,1500.0
Bellandur,5,423.0,5,4239.0
Konanakunte,1,58.0,2,884.0
Hosa Road,2,98.89,2,1045.0
Marathahalli,2,49.86,2,1019.0
Ambedkar Nagar,4,130.0,3,1935.0
Lakshminarayana Pura,3,150.0,3,1680.0
Hebbal,5,247.0,4,2470.0
Hosakerehalli,3,330.0,3,2480.0
Ramamurthy Nagar,4,187.0,5,1800.0
Whitefield,4,304.0,4,4348.5
Attibele,1,11.0,1,400.0
Kundalahalli,2,82.0,2,1047.0
Other,2,87.0,2,1282.0
NGR Layout,2,45.9,2,1020.0
Kasavanhalli,4,240.0,4,3260.0
Koramangala,5,425.0,4,3500.0
Other,2,95.0,3,1500.0
Sahakara Nagar,2,95.0,3,1500.0
Yelahanka,5,270.0,4,3206.0
Hosa Road,3,80.0,3,1639.0
Raja Rajeshwari Nagar,2,55.79,2,1303.0
Koramangala,1,110.0,2,1005.0
Kammasandra,1,18.41,1,657.5
Other,1,115.0,2,1300.0
Seegehalli,2,35.14,2,901.0
Rajaji Nagar,3,200.0,3,1725.0
Sarjapur,2,42.0,3,900.0
BEML Layout,2,55.0,2,1060.0
NGR Layout,2,48.45,2,1020.0
Varthur,3,65.99,3,1535.0
Other,1,20.0,1,530.0
Other,2,80.0,2,1350.0
Uttarahalli,2,47.0,2,1175.0
Ramamurthy Nagar,4,240.0,5,1640.0
Giri Nagar,2,42.0,2,650.0
Marathahalli,2,71.55,2,1325.0
Jakkur,2,86.51,3,1396.0
Thanisandra,3,100.0,3,1825.0
7th Phase JP Nagar,2,49.98,2,1190.0
Marathahalli,2,56.5,2,1220.0
Hennur Road,3,109.0,3,1891.0
Hosa Road,2,55.15,2,1161.0
Sarjapur,1,17.535,1,649.5
Yeshwanthpur,1,36.85,1,665.0
Mysore Road,2,73.5,2,1175.0
Hoodi,2,80.0,2,1425.0
Chikkabanavar,1,20.0,1,1200.0
ITPL,3,56.12,3,1200.0
Somasundara Palya,2,67.0,2,1255.0
Hegde Nagar,4,145.0,3,2112.95
Raja Rajeshwari Nagar,1,22.0,1,600.0
Haralur Road,3,100.0,3,1810.0
Indira Nagar,2,93.0,2,1200.0
Harlur,2,49.0,2,1033.0
ITPL,3,89.5,3,1548.0
Margondanahalli,2,82.0,2,2400.0
Pattandur Agrahara,2,44.5,2,1025.0
5th Phase JP Nagar,2,62.8,2,1256.0
Whitefield,3,163.0,4,2268.0
Attibele,1,12.0,1,400.0
Chandapura,2,60.0,2,1400.0
Sahakara Nagar,2,56.0,2,1100.0
Horamavu Banaswadi,2,80.5,2,1460.0
Rachenahalli,2,74.5,3,1530.0
HSR Layout,2,55.0,2,1467.0
Other,1,40.0,1,950.0
Vittasandra,2,64.5,2,1246.0
Kanakapura,1,38.0,1,711.0
Haralur Road,2,46.0,2,1194.0
Hoodi,2,75.0,2,1420.0
Kathriguppe,2,68.75,3,1250.0
Akshaya Nagar,2,58.0,2,1280.0
Other,4,205.0,4,1215.0
Iblur Village,3,235.0,3,3235.0
HSR Layout,2,46.0,2,1140.0
7th Phase JP Nagar,3,170.0,3,1500.0
Horamavu Agara,3,75.0,3,1560.0
JP Nagar,2,70.0,2,1100.0
Hebbal,2,50.0,2,1036.0
Akshaya Nagar,3,85.1,3,1662.0
Yelachenahalli,2,105.0,3,1464.0
Yelahanka,2,80.0,2,1234.0
Hebbal,4,410.0,4,3900.0
Kanakapura,2,46.0,2,929.0
Vasanthapura,2,39.73,2,1135.0
Kanakpura Road,2,74.0,2,1290.0
Other,3,90.0,3,1480.0
Banashankari,2,88.64,3,1470.0
Ananth Nagar,1,14.0,1,500.0
Other,3,90.0,3,1600.0
Other,2,120.0,2,720.0
Other,4,135.0,4,1200.0
Jigani,2,48.0,2,918.0
